,ESDCode,ESDAbbv,E-Address,E-City,E-State,E-ZipCode,E-Latitude,E-Longitude,E-CongressionalDistrict,E-StateDistrictNo
0,_32801,ESD 101,4202 S. Regal,Spokane,WA,99223,47.615446,-117.369326,WA5,3
1,_39801,ESD 105,33 S. 2nd Ave,Yakima,WA,98902,46.599738,-120.510046,WA4,15
2,_6801,ESD 112,2500 NE 65th Ave,Vancouver,WA,98661,45.638608000000005,-122.60596000000001,WA3,49
3,_34801,ESD 113,6005 Tyee Dr SW,Tumwater,WA,98512,46.994566,-122.917296,WA10,22
4,_18801,ESD 114,105 National Ave. N.,Bremerton,WA,98312,47.563794,-122.66790800000001,WA6,26
5,_17801,ESD 121,800 Oakesdale Ave SW,Renton,WA,98057,47.472577,-122.234508,WA9,11
6,_11801,ESD 123,3924 West Court Street,Pasco,WA,99301,46.241318,-119.143216,WA4,8
7,_4801,ESD 171,430 Old Station Road,Wenatchee,WA,98801,47.463077,-120.327577,WA8,12
8,_29801,ESD 189,1601 R Avenue,Anacortes,WA,98221,48.510602,-122.60877099999999,WA2,40
9,_34950,Washington State Charter School Commission,1068 Washington St SE,Olympia,WA,98501,47.038471,-122.89928,WA10,22
10,_32911,Spokane Public Schools Chater Authorizer,200 N. Bernard,Spokane,WA,99201,47.659375,-117.415605,WA5,3
11,_OSPI,OSPI,600 Washington St. SE,Olympia,WA,98504,47.042971,-122.899759,WA10,22
